table,column,data_type,format_example,unit,nullable,source,sdk_field,description,validation_rules,notes
device,supports_blood_oxygen,BOOLEAN,TRUE,,NULLABLE,Android SDK,SetTimeRsp.mSupportBloodOxygen (boolean),Ring capability flag.,true or false.,
device,supports_blood_pressure,BOOLEAN,TRUE,,NULLABLE,Android SDK,SetTimeRsp.mSupportBloodPressure (boolean),Ring capability flag.,true or false.,
device,supports_one_key_check,BOOLEAN,FALSE,,NULLABLE,Android SDK,SetTimeRsp.mSupportOneKeyCheck (boolean),One-click measurement capability flag.,true or false.,
device,last_connected_at,INT64,1.71253E+12,Unix ms UTC,NULLABLE,Server,,Server time of last successful sync.,Updated on each sync.,
device,first_registered_at,INT64,1.7121E+12,Unix ms UTC,NOT NULL,Server,,When device first registered.,Immutable. Server set.,
device,is_active,BOOLEAN,TRUE,,NOT NULL,Server,,Currently active device for user.,Only one true per user_id.,
users,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique user identifier,UUID v4. Server generated.,
users,email,VARCHAR(254),user@example.com,,NOT NULL,Client,,Login email. Stored lowercase.,Valid email. Max 254 chars. Unique. Lowercase enforced.,
users,password_hash,VARCHAR(128),$2b$12$...,,NOT NULL,Server (bcrypt),,bcrypt hash. Never log or return.,bcrypt cost >= 12. Never in API responses.,
users,name,VARCHAR(128),Jane Smith,,NULLABLE,Client,,Display name.,Max 128 chars.,
users,created_at,INT64,1.7121E+12,Unix ms UTC,NOT NULL,Server,,Account creation time.,Immutable.,
users,last_login_at,INT64,1.71253E+12,Unix ms UTC,NULLABLE,Server,,Last successful login.,Updated on login.,
users,age,INT8,32,years,NULLABLE,Client (Settings screen),TimeFormatReq age param | UserProfileRsp.age (int),"User age. Used as input to CalcBloodPressureByHeart.cal_sbp(hr, age). Required for accurate BP derivation.",Range: 1–120. Should be set before any BP measurements.,
users,height_cm,INT16,170,cm,NULLABLE,Client (Settings screen),TimeFormatReq height param | UserProfileRsp.height (int),User height in cm. Synced to ring via TimeFormatReq.,Range: 50–300.,
users,weight_kg,INT16,65,kg,NULLABLE,Client (Settings screen),TimeFormatReq weight param | UserProfileRsp.weight (int),User weight in kg. Synced to ring.,Range: 10–500.,
users,gender_male,BOOLEAN,TRUE,,NULLABLE,Client (Settings screen),TimeFormatReq: mSex param 0=male 1=female. UserProfileRsp.gender (boolean)  true=male false=female.,"Gender as boolean. True=male, false=female. Maps to UserProfileRsp.gender (boolean) confirmed in bytecode.","true=male, false=female.",
users,is_24h_format,BOOLEAN,TRUE,,NULLABLE,Client (Settings screen),TimeFormatReq m24Format param (true=24h) | UserProfileRsp.is24 (boolean),"Ring display time format. True=24h, false=12h.",true or false.,
users,is_metric,BOOLEAN,TRUE,,NULLABLE,Client (Settings screen),TimeFormatReq: metric param 0=metric 1=imperial. UserProfileRsp.metric (boolean)  true=metric.,Unit system for ring display.,"true=metric, false=imperial.",
users,goal_steps,INT32,10000,steps/day,NULLABLE,Client (Settings screen),TargetSettingReq step param,Daily step goal synced to ring.,Range: 100–100000.,
users,goal_calories_kcal,INT32,500,kcal/day,NULLABLE,Client (Settings screen),TargetSettingReq calorie param  IMPORTANT: SDK expects small calories. Multiply goal_calories_kcal * 1000 before passing to SDK.,Daily calorie burn goal in kcal. Must multiply by 1000 when writing to ring via TargetSettingReq.,Range: 100–10000.,
users,goal_distance_meters,INT32,5000,meters/day,NULLABLE,Client (Settings screen),TargetSettingReq distance param,Daily distance goal in metres.,Range: 100–200000.,
users,goal_active_minutes,INT32,30,minutes/day,NULLABLE,Client (Settings screen),TargetSettingReq sportMinute param,Daily active minutes goal.,Range: 1–1440.,
users,baseline_sbp,INT16,120,mmHg,NULLABLE,Client (Settings screen),TimeFormatReq sbp param (baseline systolic for BP calibration) | UserProfileRsp.sbp (int),Baseline systolic BP used to calibrate ring BP derivation. Recommended to set for accuracy.,Range: 60–250.,
users,baseline_dbp,INT16,80,mmHg,NULLABLE,Client (Settings screen),TimeFormatReq dbp param | UserProfileRsp.dbp (int),Baseline diastolic BP for calibration.,Range: 40–150. Must be < baseline_sbp.,
api_batch_upload,envelope_id,UUID v4,7f3e9a12-...,,NOT NULL,Android (generated before send),,Idempotency key for the entire batch. Android generates before sending. Safe to retry  server processes once within 24h window.,UUID v4. Deduplicate within 24h per user.,
api_batch_upload,records,JSON array,"[{""type"":""heart_rate"",""bpm"":72,...}]",,NOT NULL,Android,,Array of health records of any supported type. Each element must include a type field.,Max 500 records per batch. Max payload 5 MB.,
api_batch_upload,type (per record element),ENUM string,heart_rate,,NOT NULL per record,Android,,Tells the API which table to route the record to.,Allowed: heart_rate | spo2 | blood_pressure | temperature | hrv | stress | activity | activity_detail | sleep | sport_session,
api_batch_upload,recorded_at_range_start,INT64,1.71245E+12,Unix ms UTC,NULLABLE,Android,,Earliest device_timestamp across all records in batch. Helps server validate batch sanity.,If provided must be <= recorded_at_range_end.,
api_batch_upload,recorded_at_range_end,INT64,1.71253E+12,Unix ms UTC,NULLABLE,Android,,Latest device_timestamp across all records in batch.,If provided must be >= recorded_at_range_start.,
